"","X","UF","frota","condutores","infracoes","sinistros","estatistica_atend","canais","educ","cfc"
"1",1,"SE","https://www.detran.se.gov.br/?pg=estatistica/veiculos#gsc.tab=0","https://www.detran.se.gov.br/?pg=estatistica/habilitacao#gsc.tab=0","https://www.detran.se.gov.br/?pg=estatistica/infracoes#gsc.tab=0","https://www.detran.se.gov.br/?pg=estatistica/acidentes#gsc.tab=0","https://www.detran.se.gov.br/?pg=estatistica/atendimento#gsc.tab=0","https://www.detran.se.gov.br/?pg=estatistica/atendimento#gsc.tab=0","https://www.detran.se.gov.br/?pg=noticias&filtro=educacao#gsc.tab=0","https://www.detran.se.gov.br/?pg=credenciado/cfc#gsc.tab=0"
"2",2,"RS","https://www.detran.rs.gov.br/dados-rs","https://www.detran.rs.gov.br/dados-rs","https://www.detran.rs.gov.br/dados-rs","https://www.detran.rs.gov.br/acidentalidade","https://www.detran.rs.gov.br/atendimento-ao-publico","https://www.detran.rs.gov.br/atendimento-ao-publico","https://www.detran.rs.gov.br/educacao-para-o-transito","https://pcsdetran.rs.gov.br/locais-atendimento/1"
"3",3,"SP","https://www.detran.sp.gov.br/wps/portal/portaldetran/detran/estatisticastransito/3a410653-0dd2-45df-a324-bdfc4711d988/","https://www.detran.sp.gov.br/wps/portal/portaldetran/detran/estatisticastransito/3a410653-0dd2-45df-a324-bdfc4711d988/","https://www.detran.sp.gov.br/wps/portal/portaldetran/detran/estatisticastransito/3a410653-0dd2-45df-a324-bdfc4711d988/","https://infosiga.detran.sp.gov.br/#sinistros","https://www.detran.sp.gov.br/detransp/pb/informacoes/canais_de_comunicacao?id=canais_de_comunicacao","https://www.detran.sp.gov.br/detransp/pb/informacoes/canais_de_comunicacao?id=canais_de_comunicacao","https://www.detran.sp.gov.br/detransp?id=segurancaviaria","https://credenciados.detran.sp.gov.br/"
"4",4,"GO","https://paineis.detran.go.gov.br/extensions/Frota/Frota.html","https://paineis.detran.go.gov.br/extensions/Condutores/Condutores.html","https://paineis.detran.go.gov.br/extensions/Multas/Multas.html","https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/docs/renaest","https://goias.gov.br/detran/estatisticas-go/","https://paineis.detran.go.gov.br/extensions/Atendimentos/Atendimentos.html","",""
"5",5,"SC","https://www.detran.sc.gov.br/estatisticas-veiculos-transparencia/","https://www.detran.sc.gov.br/estatisticas-motoristas-transparencia/","https://www.detran.sc.gov.br/estatisticas-infracoes-de-transito-transparencia/","https://www.detran.sc.gov.br/estatisticas-sinistros/","https://www.detran.sc.gov.br/atendimento-ao-publico/","https://www.detran.sc.gov.br/atendimento-ao-publico/","https://www.detran.sc.gov.br/educacao/","https://www.detran.sc.gov.br/centro-de-formacao-de-condutores/"
"6",6,"RN","http://www.detran.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=68675&ACT=&PAGE=0&PARM=&LBL=Estat%EDstica","http://www.detran.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=68675&ACT=&PAGE=0&PARM=&LBL=Estat%EDstica","http://www.detran.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=68675&ACT=&PAGE=0&PARM=&LBL=Estat%EDstica","http://www.detran.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=68675&ACT=&PAGE=0&PARM=&LBL=Estat%EDstica","http://www.detran.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=139121&ACT=&PAGE=0&PARM=&LBL=Estat%EDstica","http://www.detran.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=244951&ACT=&PAGE=0&PARM=&LBL=Contato","http://www.detran.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=68880&ACT=&PAGE=0&PARM=&LBL=Educa%E7%E3o","https://www2.detran.rn.gov.br/externo/cfccredenciado.asp"
"7",7,"PR","https://bi2.pr.gov.br/single/?appid=93c1bb57-667b-4c26-acd3-ac2c02e5cc49&sheet=356ec7d6-ba72-45d2-9fca-8eeadebc3c3f&bookmark=9876a0c4-b966-46c8-8982-7d4f0c701581&lang=pt-BR&theme=sense&opt=ctxmenu&select=clearall","https://bi2.pr.gov.br/single/?appid=93c1bb57-667b-4c26-acd3-ac2c02e5cc49&sheet=356ec7d6-ba72-45d2-9fca-8eeadebc3c3f&bookmark=9876a0c4-b966-46c8-8982-7d4f0c701581&lang=pt-BR&theme=sense&opt=ctxmenu&select=clearall","https://bi2.pr.gov.br/single/?appid=93c1bb57-667b-4c26-acd3-ac2c02e5cc49&sheet=356ec7d6-ba72-45d2-9fca-8eeadebc3c3f&bookmark=9876a0c4-b966-46c8-8982-7d4f0c701581&lang=pt-BR&theme=sense&opt=ctxmenu&select=clearall","https://bi2.pr.gov.br/single/?appid=93c1bb57-667b-4c26-acd3-ac2c02e5cc49&sheet=356ec7d6-ba72-45d2-9fca-8eeadebc3c3f&bookmark=9876a0c4-b966-46c8-8982-7d4f0c701581&lang=pt-BR&theme=sense&opt=ctxmenu&select=clearall",NA,"https://www.detran.pr.gov.br/","https://www.detran.pr.gov.br/Pagina/Educacao-para-o-Transito","https://www.detran.pr.gov.br/autoescola"
"8",8,"RJ","https://www.detran.rj.gov.br/veiculo/veiculos-outros/estatistica-veiculos.html","https://www.detran.rj.gov.br/images/transparencia/anuario_estatistico/anuario_estatistico_detran_rj_2024.pdf","https://www.detran.rj.gov.br/veiculo/veiculos-outros/estatistica-veiculos.html","https://detran.rj.gov.br/images/transparencia/anuario_estatistico/anuario_estatistico_detran_rj_2024.pdf",NA,"https://www.detran.rj.gov.br/transparencia/institucional/ouvidoria-fale-conosco.html","https://www.detran.rj.gov.br/menu/menu-educacao.html","https://www.detran.rj.gov.br/consultas/consultas-hab/lista-de-frotas-cfcs.html"
"9",9,"MS","https://paineis.msindicadores.ms.gov.br/publico/single/?appid=677d876a-42d3-48e3-b5af-654bfafb32a9&sheet=c16c2a0b-436f-45f1-9fe0-01aeb0ea1a2a&theme=breeze&opt=ctxmenu,currsel","https://paineis.msindicadores.ms.gov.br/publico/single/?appid=677d876a-42d3-48e3-b5af-654bfafb32a9&sheet=c16c2a0b-436f-45f1-9fe0-01aeb0ea1a2a&theme=breeze&opt=ctxmenu,currsel","https://paineis.msindicadores.ms.gov.br/publico/single/?appid=677d876a-42d3-48e3-b5af-654bfafb32a9&sheet=e03118fd-629c-4ab3-8fc9-6a4532a0465e&theme=breeze&opt=ctxmenu,currsel","https://dd.serpro.gov.br/publico/sense/app/03878a1c-2594-4435-82d1-41559d2f950b/sheet/58bfbc60-946f-4e3f-8ca8-17e08dac8d0a/state/analysis",NA,"https://www.meudetran.ms.gov.br/?acao=faleconosco&acao=faleconosco","https://www.detran.ms.gov.br/educacao-2/divisao-de-educacao-2/","https://paineis.msindicadores.ms.gov.br/publico/single/?appid=677d876a-42d3-48e3-b5af-654bfafb32a9&sheet=7bdfaf0a-04ef-4263-b947-3bf063740f6a&theme=breeze&opt=ctxmenu,currsel"
"10",10,"MT","https://www.detran.mt.gov.br/veiculos1","https://www.detran.mt.gov.br/carteira-nacional-de-habilitacao-cnh-","https://www.detran.mt.gov.br/anuario","https://www.detran.mt.gov.br/anuario","https://www.detran.mt.gov.br/ouvidoria1","https://www.detran.mt.gov.br/sede","https://www.detran.mt.gov.br/servicos?c=9895444&e=10061717","https://www.detran.mt.gov.br/consulte-por-municipio"
