"","uf","frota_period","frota_inter","frota_desagreg","condutores_period","condutores_inter","condutores_desagreg","infracoes_period","infracoes_inter","infracoes_desagreg","sinistros_period","sinistros_inter","sinistros_desagreg","atendimento_estatistica","atendimento_canais","educ_conteudos","educ_divulgacao","cfcs","nota_final","ano"
"1","SE",10,10,10,10,10,6.7,10,10,10,10,10,10,10,6.7,10,10,10,9.60714285714286,2024
"2","RS",10,6.7,10,10,6.7,10,10,6.7,10,10,6.7,6.7,10,10,10,10,6.7,8.74285714285714,2024
"3","SP",10,6.7,10,10,6.7,10,10,6.7,10,10,10,10,10,10,6.7,10,10,9.29285714285714,2024
"4","GO",10,10,10,10,10,10,10,10,10,0,0,0,6.7,6.7,10,6.7,10,7.86428571428571,2024
"5","SC",10,10,10,10,10,6.7,10,10,10,10,10,6.7,0,10,3.3,3.3,6.7,7.54285714285714,2024
"6","RN",10,10,10,10,3.3,10,10,3.3,10,3.3,3.3,6.7,6.7,10,6.7,6.7,10,7.85952380952381,2024
"7","PR",10,3.3,10,10,3.3,6.7,10,3.3,10,10,3.3,10,0,10,10,10,10,7.85238095238095,2024
"8","RJ",10,10,10,6.7,3.3,3.3,10,10,6.7,6.7,3.3,6.7,0,10,10,10,10,7.7,2024
"9","MS",6.7,10,10,6.7,3.3,10,10,10,10,0,0,0,0,10,10,10,6.7,6.75238095238095,2024
"10","MT",10,3.3,3.3,10,3.3,3.3,10,3.3,10,10,3.3,3.3,10,10,10,6.7,6.7,7.05952380952381,2024
"11","PE",10,6.7,10,10,6.7,10,3.3,6.7,10,0,0,0,0,6.7,10,10,6.7,6.35952380952381,2024
"12","MG",10,3.3,3.3,10,3.3,3.3,10,3.3,3.3,0,0,0,10,10,10,10,6.7,6.18571428571429,2024
"13","DF",10,3.3,3.3,10,3.3,6.7,0,0,0,10,3.3,6.7,0,6.7,10,10,6.7,5.55952380952381,2024
"14","ES",10,3.3,10,10,10,10,10,3.3,10,10,10,10,10,10,6.7,6.7,10,8.89047619047619,2024
"15","CE",10,3.3,6.7,10,3.3,6.7,3.3,3.3,3.3,0,0,0,0,10,6.7,6.7,10,5.47619047619048,2024
"16","RO",10,10,10,10,10,10,0,0,0,10,10,10,0,6.7,3.3,3.3,0,5.23571428571429,2024
"17","AC",10,3.3,3.3,10,3.3,3.3,0,0,0,10,3.3,3.3,0,3.3,10,10,6.7,4.99285714285714,2024
"18","AL",10,10,3.3,0,0,0,0,0,0,6.7,10,10,0,6.7,3.3,3.3,10,4.75952380952381,2024
"19","AM",3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,3.3,3.3,3.3,0,6.7,10,10,6.7,4.27857142857143,2024
"20","MA",10,6.7,10,0,0,0,0,0,0,0,0,0,0,6.7,6.7,10,6.7,3.9,2024
"21","PB",10,6.7,6.7,10,6.7,6.7,10,6.7,3.3,10,3.3,10,0,3.3,3.3,3.3,6.7,5.9547619047619,2024
"22","BA",3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,6.7,3.3,6.7,6.7,3.09285714285714,2024
"23","AP",0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,6.7,6.7,10,2.62142857142857,2024
"24","PA",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,2.14285714285714,2024
"25","TO",0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.3,6.7,6.7,2.38571428571429,2024
"26","PI",0,0,0,0,0,0,3.3,3.3,3.3,0,0,0,0,3.3,3.3,6.7,6.7,2.37857142857143,2024
"27","RR",0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,3.3,6.7,1.66428571428571,2024
"28","PR",10,3.3,6.7,10,3.3,6.7,10,3.3,10,10,3.3,10,0,10,10,10,10,7.6984126984127,2020
"29","RS",10,6.7,6.7,10,6.7,10,10,6.7,10,10,6.7,3.3,0,10,10,10,6.66666666666667,7.6984126984127,2020
"30","SC",10,6.7,3.3,10,6.7,6.7,3.3,3.3,3.3,0,0,0,0,3.3,3.3,6.7,10,4.92063492063492,2020
"31","SP",10,6.7,6.7,0,0,0,10,6.7,6.7,6.7,6.7,10,10,10,10,10,10,7.61904761904762,2020
"32","MG",6.7,3.3,3.3,6.7,3.3,3.3,10,3.3,3.3,0,0,0,0,10,3.3,10,10,5.63492063492063,2020
"33","RJ",10,10,10,0,0,0,10,10,6.7,0,0,0,0,0,6.7,10,10,5.79365079365079,2020
"34","ES",10,3.3,10,10,3.3,6.7,10,3.3,10,3.3,3.3,10,0,0,3.3,10,10,6.82539682539683,2020
"35","RO",10,6.7,6.7,10,6.7,6.7,10,6.7,6.7,10,6.7,6.7,0,10,3.3,3.3,10,7.06349206349206,2020
"36","PA",0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,10,10,6.66666666666667,2.61904761904762,2020
"37","AM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,10,6.66666666666667,2.38095238095238,2020
"38","AP",3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,3.3,3.3,10,0,0,6.7,6.7,6.66666666666667,4.12698412698413,2020
"39","TO",6.7,3.3,6.7,0,0,0,0,0,0,0,0,0,0,10,0,0,10,2.93650793650794,2020
"40","AC",6.7,3.3,3.3,0,0,0,0,0,0,0,0,0,0,10,0,0,6.66666666666667,2.3015873015873,2020
"41","RR",3.3,3.3,3.3,0,0,0,6.7,3.3,3.3,6.7,3.3,6.7,0,10,6.7,3.3,6.66666666666667,4.28571428571429,2020
"42","BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476190476,2020
"43","PE",10,6.7,6.7,10,6.7,10,0,0,0,0,0,0,0,0,6.7,6.7,6.66666666666667,4.76190476190476,2020
"44","CE",10,3.3,6.7,6.7,3.3,6.7,0,0,0,0,0,0,0,0,0,0,6.66666666666667,3.17460317460317,2020
"45","MA",0,0,0,0,0,0,10,10,10,0,0,0,0,10,3.3,10,6.66666666666667,4.04761904761905,2020
