uf;frota_period;frota_inter;frota_desagreg;condutores_period;condutores_inter;condutores_desagreg;infracoes_period;infracoes_inter;infracoes_desagreg;sinistros_period;sinistros_inter;sinistros_desagreg;atendimento_estatistica;atendimento_canais;educ_conteudos;educ_divulgacao;cfcs;nota_final;ano
SE;10,0;10,0;10,0;10,0;10,0;6,7;10,0;10,0;10,0;10,0;10,0;10,0;10,0;6,7;10,0;10,0;10,00000000000000;9,607142857142858;2024
RS;10,0;6,7;10,0;10,0;6,7;10,0;10,0;6,7;10,0;10,0;6,7;6,7;10,0;10,0;10,0;10,0;6,70000000000000;8,742857142857144;2024
SP;10,0;6,7;10,0;10,0;6,7;10,0;10,0;6,7;10,0;10,0;10,0;10,0;10,0;10,0;6,7;10,0;10,00000000000000;9,292857142857144;2024
GO;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;0,0;0,0;0,0;6,7;6,7;10,0;6,7;10,00000000000000;7,864285714285715;2024
SC;10,0;10,0;10,0;10,0;10,0;6,7;10,0;10,0;10,0;10,0;10,0;6,7;0,0;10,0;3,3;3,3;6,70000000000000;7,542857142857143;2024
RN;10,0;10,0;10,0;10,0;3,3;10,0;10,0;3,3;10,0;3,3;3,3;6,7;6,7;10,0;6,7;6,7;10,00000000000000;7,859523809523809;2024
PR;10,0;3,3;10,0;10,0;3,3;6,7;10,0;3,3;10,0;10,0;3,3;10,0;0,0;10,0;10,0;10,0;10,00000000000000;7,852380952380953;2024
RJ;10,0;10,0;10,0;6,7;3,3;3,3;10,0;10,0;6,7;6,7;3,3;6,7;0,0;10,0;10,0;10,0;10,00000000000000;7,700000000000001;2024
MS;6,7;10,0;10,0;6,7;3,3;10,0;10,0;10,0;10,0;0,0;0,0;0,0;0,0;10,0;10,0;10,0;6,70000000000000;6,752380952380952;2024
MT;10,0;3,3;3,3;10,0;3,3;3,3;10,0;3,3;10,0;10,0;3,3;3,3;10,0;10,0;10,0;6,7;6,70000000000000;7,059523809523811;2024
PE;10,0;6,7;10,0;10,0;6,7;10,0;3,3;6,7;10,0;0,0;0,0;0,0;0,0;6,7;10,0;10,0;6,70000000000000;6,359523809523810;2024
MG;10,0;3,3;3,3;10,0;3,3;3,3;10,0;3,3;3,3;0,0;0,0;0,0;10,0;10,0;10,0;10,0;6,70000000000000;6,185714285714286;2024
DF;10,0;3,3;3,3;10,0;3,3;6,7;0,0;0,0;0,0;10,0;3,3;6,7;0,0;6,7;10,0;10,0;6,70000000000000;5,559523809523810;2024
ES;10,0;3,3;10,0;10,0;10,0;10,0;10,0;3,3;10,0;10,0;10,0;10,0;10,0;10,0;6,7;6,7;10,00000000000000;8,890476190476191;2024
CE;10,0;3,3;6,7;10,0;3,3;6,7;3,3;3,3;3,3;0,0;0,0;0,0;0,0;10,0;6,7;6,7;10,00000000000000;5,476190476190475;2024
RO;10,0;10,0;10,0;10,0;10,0;10,0;0,0;0,0;0,0;10,0;10,0;10,0;0,0;6,7;3,3;3,3;0,00000000000000;5,235714285714286;2024
AC;10,0;3,3;3,3;10,0;3,3;3,3;0,0;0,0;0,0;10,0;3,3;3,3;0,0;3,3;10,0;10,0;6,70000000000000;4,992857142857143;2024
AL;10,0;10,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0;6,7;10,0;10,0;0,0;6,7;3,3;3,3;10,00000000000000;4,759523809523810;2024
AM;3,3;3,3;3,3;3,3;3,3;3,3;0,0;0,0;0,0;3,3;3,3;3,3;0,0;6,7;10,0;10,0;6,70000000000000;4,278571428571428;2024
MA;10,0;6,7;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,7;6,7;10,0;6,70000000000000;3,900000000000000;2024
PB;10,0;6,7;6,7;10,0;6,7;6,7;10,0;6,7;3,3;10,0;3,3;10,0;0,0;3,3;3,3;3,3;6,70000000000000;5,954761904761904;2024
BA;3,3;3,3;3,3;3,3;3,3;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,7;3,3;6,7;6,70000000000000;3,092857142857143;2024
AP;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;6,7;6,7;10,00000000000000;2,621428571428571;2024
PA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;10,0;10,0;0,00000000000000;2,142857142857143;2024
TO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;3,3;6,7;6,70000000000000;2,385714285714286;2024
PI;0,0;0,0;0,0;0,0;0,0;0,0;3,3;3,3;3,3;0,0;0,0;0,0;0,0;3,3;3,3;6,7;6,70000000000000;2,378571428571429;2024
RR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;3,3;3,3;6,70000000000000;1,664285714285714;2024
PR;10,0;3,3;6,7;10,0;3,3;6,7;10,0;3,3;10,0;10,0;3,3;10,0;0,0;10,0;10,0;10,0;10,00000000000000;7,698412698412699;2020
RS;10,0;6,7;6,7;10,0;6,7;10,0;10,0;6,7;10,0;10,0;6,7;3,3;0,0;10,0;10,0;10,0;6,66666666666667;7,698412698412698;2020
SC;10,0;6,7;3,3;10,0;6,7;6,7;3,3;3,3;3,3;0,0;0,0;0,0;0,0;3,3;3,3;6,7;10,00000000000000;4,920634920634920;2020
SP;10,0;6,7;6,7;0,0;0,0;0,0;10,0;6,7;6,7;6,7;6,7;10,0;10,0;10,0;10,0;10,0;10,00000000000000;7,619047619047620;2020
MG;6,7;3,3;3,3;6,7;3,3;3,3;10,0;3,3;3,3;0,0;0,0;0,0;0,0;10,0;3,3;10,0;10,00000000000000;5,634920634920634;2020
RJ;10,0;10,0;10,0;0,0;0,0;0,0;10,0;10,0;6,7;0,0;0,0;0,0;0,0;0,0;6,7;10,0;10,00000000000000;5,793650793650793;2020
ES;10,0;3,3;10,0;10,0;3,3;6,7;10,0;3,3;10,0;3,3;3,3;10,0;0,0;0,0;3,3;10,0;10,00000000000000;6,825396825396827;2020
RO;10,0;6,7;6,7;10,0;6,7;6,7;10,0;6,7;6,7;10,0;6,7;6,7;0,0;10,0;3,3;3,3;10,00000000000000;7,063492063492064;2020
PA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;10,0;10,0;6,66666666666667;2,619047619047620;2020
AM;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;10,0;6,66666666666667;2,380952380952381;2020
AP;3,3;3,3;3,3;3,3;3,3;3,3;0,0;0,0;0,0;3,3;3,3;10,0;0,0;0,0;6,7;6,7;6,66666666666667;4,126984126984127;2020
TO;6,7;3,3;6,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;0,0;0,0;10,00000000000000;2,936507936507937;2020
AC;6,7;3,3;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;0,0;0,0;6,66666666666667;2,301587301587301;2020
RR;3,3;3,3;3,3;0,0;0,0;0,0;6,7;3,3;3,3;6,7;3,3;6,7;0,0;10,0;6,7;3,3;6,66666666666667;4,285714285714286;2020
BA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,00000000000000;0,476190476190476;2020
PE;10,0;6,7;6,7;10,0;6,7;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,7;6,7;6,66666666666667;4,761904761904762;2020
CE;10,0;3,3;6,7;6,7;3,3;6,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,66666666666667;3,174603174603174;2020
MA;0,0;0,0;0,0;0,0;0,0;0,0;10,0;10,0;10,0;0,0;0,0;0,0;0,0;10,0;3,3;10,0;6,66666666666667;4,047619047619048;2020
PB;10,0;3,3;3,3;10,0;3,3;6,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;0,0;0,0;6,66666666666667;2,936507936507937;2020
RN;10,0;10,0;10,0;6,7;3,3;10,0;10,0;3,3;10,0;3,3;3,3;3,3;0,0;0,0;3,3;3,3;0,00000000000000;4,920634920634920;2020
AL;6,7;6,7;3,3;6,7;6,7;3,3;0,0;0,0;0,0;6,7;6,7;6,7;10,0;10,0;3,3;6,7;6,66666666666667;5,634920634920634;2020
PI;3,3;3,3;3,3;3,3;3,3;6,7;3,3;3,3;6,7;6,7;3,3;10,0;0,0;0,0;0,0;0,0;6,66666666666667;4,126984126984127;2020
